burial_number,find_date,square,elevation,findspot,X,Y,Z
DH06x9,8/24/32,DH_06,1.2,top level D 75-1.40,3.2,1.6,-1.1
DH06x8,8/22/32,DH_06,0.75,top later above L1 and with x 7 etc D .75,3.2,1.6,-0.75
DH06x7,8/22/32,DH_06,0.75,top later D .75,3.1,1.4,-0.75
DH06x6,8/27/32,DH_06,0.95,below top level D .95,3.3,1.7,-0.95
DH06x5,8/27/32,DH_06,0.95,below top level D 0.95,3.3,1.7,-0.95
DH06x4,8/24/32,DH_06,1.4,top level D 75-1.40,3.2,1.7,-0.9
DH06x3,8/24/32,DH_06,1.4,top level D 75-1.40,3.1,1.8,-0.9
DH06x2,8/24/32,DH_06,1.4,top level D 75-1.40,3.1,1.9,-0.75
DH06x14,8/25/32,DH_06,1.2,top level below floor level 1 D. 1.20,3.3,1.65,-1.2
DH06x13,8/24/32,DH_06,1.4,top level D 75-1.40,3.3,1.65,-1.1
DH06x12,8/24/32,DH_06,1.4,top level D 75-1.40,3.2,1.8,-1.2
DH06x11,8/24/32,DH_06,1.4,top level D 75-1.40,3.1,1.8,-1.4
DH06x10,8/24/32,DH_06,1.4,top level D 75-1.40,3.2,1.7,-1.2
DH06x1,8/24/32,DH_06,1.4,top level D 75-1.40,3.1,1.9,-0.9