ID,Rank,Location
Abd Allah b. As'ad,Official,Medinat al-Fayyum
b. Abi Muslim,Official,Medinat al-Fayyum
Yazid b. 'Ali,Treasurer,Fustat
Khalid,Resident,Qa'yah
Peter the Symmachos,Symmachos,Medinat al-Fayyum
Juzayy,Sahib al-Ma'a,Medinat Madi
Yazid,Official,Medinat al-Fayyum
Anonymous Symmachos,Symmachos,Medinat al-Fayyum
Rashid,Sahib al-Ma'a,Medinat Madi
People of Narmuda,Village,Narmuda
Qarina,Sahib,Nuwayra
Anonymous Amir,Amir,Fustat
Najid b. Muslim,Sahib,Medinat al-Fayyum
Abu (missing),Official,Medinat al-Fayyum
Awn b. Nafi',Official,Medinat al-Fayyum
so and so son of ....man,Resident,Medinat al-Fayyum
two sons of Da'ud,Resident,Medinat al-Fayyum
Jarid b. As'ad,Sahib,Medinat al-Fayyum
George the Symmachos,Symmachos,Medinat al-Fayyum
Abu Dawud,Symmachos,Medinat al-Fayyum
Nadhir b. 'Abd al-Rahman,Official,Medinat al-Fayyum
Muslim b. 'Amr,Official,Medinat al-Fayyum
Afif,Freedman,Medinat al-Fayyum
Ishaq b. 'Ata' ,Official,Medinat al-Fayyum
Ali b. Khawli,Resident,Alexandria
Iyad b. 'Awsaja,Resident,Medinat al-Fayyum
Umar b. Kalim,Friend,Medinat al-Fayyum
Salama b. Iyas,Oil Man,Alexandria
Salt b. al-Muhajir ,Official,Medinat al-Fayyum
mawla of 'Ali,mawla,Medinat al-Fayyum
Fulan b. Khalid,Official,Medinat al-Fayyum
Fulan b. Ulayt,Official,Medinat al-Fayyum
Sahl b. Habib,Official,Medinat al-Fayyum
Ziyad b. Sa'id,Official,Hermopolis
Muhammad b. Na'ib,Scribe,Medinat al-Fayyum
Amr b. 'Abd Allah,Official,Medinat al-Fayyum