ID,Rank,Location
Abd Allah b. As'ad,Official,Medinat al-Fayyum
b. Abi Muslim,Official,Medinat al-Fayyum
Yazid b. 'Ali,Treasurer,Fustat
Khalid,Resident,Qa'yah
Peter the Symmachos,Symmachos,Medinat al-Fayyum
Juzayy,Sahib al-Ma'a,Medinat Madi
Yazid,Official,Medinat al-Fayyum
Anonymous Symmachos,Symmachos,Medinat al-Fayyum
Rashid,Sahib al-Ma'a,Medinat Madi
People of Narmuda,Village,Narmuda
Qarina,Sahib,Nuwayra
Anonymous Amir,Amir,Fustat
Najid b. Muslim,Sahib,Medinat al-Fayyum
Abu (missing),Official,Medinat al-Fayyum
Awn b. Nafi',Official,Medinat al-Fayyum
so and so son of ....man,Resident,Medinat al-Fayyum
two sons of Da'ud,Resident,Medinat al-Fayyum
Jarid b. As'ad,Sahib,Medinat al-Fayyum
George the Symmachos,Symmachos,Medinat al-Fayyum
Abu Dawud,Symmachos,Medinat al-Fayyum
Nadhir b. 'Abd al-Rahman,Official,Medinat al-Fayyum