site,phase,culture-1,culture-2
Ain Ghazal,AG,PPNB,middle/late
Tell Abu Hureyra,AH1,late Epipalaeolithic,
Tell Abu Hureyra,AH2A,PPNB,middle/late
Tell Abu Hureyra,AH2B,PPNB,late/final
Tell Abu Hureyra,AH2C,pottery Neolithic,
Ali Kosh,AK-AK,PPNB,middle/late
Ali Kosh,AK-BM,PPNB,middle
Ali Kosh,AK-MJ,late PPNB/pottery Neolithic,
Tell Aswad,AsIa,PPNA,
Tell Aswad,AsIb,PPNB,early
Tell Aswad,AsII,PPNB,middle
Azraq 31,Az31,PPNB,late
Basta,BA,PPNB,late
Beidha,BE,PPNB,middle
Bouqras,BQ,late PPNB/pottery Neolithic,
Can Hasan III,CHaIII,PPNB,late/final
Dhuweila,DHI,PPNB,late
Dhuweila,DHII,Neolithic,late
Djade,DJ,PPNB,early
El Kowm I,EKIa,PPNB,late
El Kowm I,EKIb,pottery Neolithic,
El Kowm II,EKII,PPNB,final
Erbaba,ER,pottery Neolithic,
Ganj Dareh Tepe,GD,PPNB,middle
Ganj Dareh Tepe,GD-E,PPNB,middle
Halula,HAI,PPNB,middle
Halula,HAII,PPNB,late
Hayonim Cave,HC,Epipalaeolithic,late
Hacilar,HrI,PPNB,middle
Hacilar,HrII,pottery Neolithic,
Iraq ed Dubb,IeDI,Epipalaeolithic,late
Iraq ed Dubb,IeDII,PPNA,
Jerf al Ahmar,JA,PPNA,
Jericho,JEI,PPNA/early PPNB,
Jericho,JEII,PPNB,middle
Jericho,JEIII,pottery Neolithic,
M'lefaat,Mf,PPNA,
Tell Mureybit,MuI,Epipalaeolithic,late
Tell Mureybit,MuII,late Epipalaeolithic/PPNA,
Tell Mureybit,MuIII,PPNA,
Tell Mureybit,MuIV,PPNB,early
Magzalia,Mz,PPNB,late
Netiv Hagdud,NH,PPNA,
Nahal Hemar,Nhe,PPNB,middle/late
Ohalo II,OII,Epipalaeolithic,early
Qermez Dere,QD,PPNA,
Tell Ramad,RaI,PPNB,late
Tell Ramad,RaII,PPNB,final
Tell Ras Shamra,RsVa,pottery Neolithic,
Tell Ras Shamra,RsVb,pottery Neolithic,
Tell Ras Shamra,RsVc,PPNB,late
Wadi Fidan A,WFA,PPNB,late
Wadi Fidan C,WFC,PPNB,final
Tepe Abdul Hosein,TAH,PPNB,middle
Wadi Hammeh 27,WH27,Epipalaeolithic,late
Wadi Jilat 13,WJ13,Neolithic,late
Wadi Jilat 7,WJ7I,PPNB,early
Wadi Jilat 7,WJ7II,PPNB,middle
Yiftah'el,Y,PPNB,middle
Yarim Tepe I,YTI,pottery Neolithic,