,play,playwright,date,prize,genre
,ajax,sophocles,447,2,tragedy
,trachiniae,sophocles,437-432,2,tragedy
,oedipus_tyrannus,sophocles,429,2,tragedy
,philoctetes,sophocles,409,1,tragedy
,antigone,sophocles,442,1,tragedy
,oedipus_at_colonus,sophocles,401,1,tragedy
,elektra,sophocles,418-414,2,tragedy
,agamemnon,aeschylus,458,1,tragedy
,choephoroe,aeschylus,458,1,tragedy
,eumenides,aeschylus,458,1,tragedy
,prometheus_bound,aeschylus,????,1,tragedy
,seven_against_thebes,aeschylus,467,1,tragedy
,persians,aeschylus,472,1,tragedy
,suppliants,aeschylus,463,1,tragedy
,helen,euripides,412,,tragedy
,hippolytus,euripides,428,1,tragedy
,cyclops,euripides,????,,satyr
,alcestis,euripides,438,2,tragedy
,medea,euripides,431,3,tragedy
,heraclidae,euripides,430,,tragedy
,andromache,euripides,425,,tragedy
,hecuba,euripides,424,,tragedy
,suppliants,euripides,423,,tragedy
,elektra,euripides,420,,tragedy
,herakles,euripides,416,,tragedy
,trojans,euripides,415,2,tragedy
,iphigenia_at_taurus,euripides,414,,tragedy
,ion,euripides,414,,tragedy
,phoenissiae,euripides,410,,tragedy
,orestes,euripides,408,,tragedy
,bacchae,euripides,405,1,tragedy
,iphigenia_at_aulis,euripides,405,1,tragedy
,rhesus,euripides,???,,tragedy
,frogs,aristophanes,405,,comedy
,wasps,aristophanes,422,,comedy
,lysistrata,aristophanes,411,,comedy
,thesmophoriazusae,aristophanes,411,,comedy
,peace,aristophanes,421,,comedy
,clouds,aristophanes,423,,comedy
,knights,aristophanes,424,,comedy
,wealth,aristophanes,388,,comedy
,birds,aristophanes,414,,comedy
,ecclesiazusae,aristophanes,392,,comedy
,acharnians,aristophanes,425,,comedy